testFile,testCaseId
snad.pl,9.9.9.9.9
master.pl,4.3.1.2.1
master.pl,4.3.2.2.1
master.pl,4.3.3.2.1
master.pl,4.3.1.3.1
master.pl,4.3.1.3.5
master.pl,4.3.1.3.9
master.pl,4.3.2.3.7
master.pl,4.3.2.3.3
master.pl,4.3.2.3.1
master.pl,4.3.3.3.9
master.pl,4.3.3.3.5
master.pl,4.3.3.3.1
master.pl,4.3.1.4.1
master.pl,4.3.1.4.8
master.pl,4.3.1.1.8
master.pl,4.3.1.1.4
master.pl,4.3.2.4.15
master.pl,4.3.2.4.3
master.pl,4.3.2.4.1
master.pl,4.3.3.4.9
master.pl,4.3.3.4.1
master.pl,4.3.3.4.13
master.pl,4.3.1.2.5
master.pl,4.3.2.2.7
master.pl,4.3.3.2.7
master.pl,4.3.1.3.13
master.pl,4.3.1.3.17
master.pl,4.3.1.3.21
master.pl,4.3.2.3.18
master.pl,4.3.2.3.14
master.pl,4.3.2.3.12
master.pl,4.3.3.3.21
master.pl,4.3.3.3.17
master.pl,4.3.3.3.13
master.pl,4.3.1.4.22
master.pl,4.3.1.4.29
master.pl,4.3.1.4.40
master.pl,4.3.2.4.27
master.pl,4.3.2.4.18
master.pl,4.3.2.4.16
master.pl,4.3.3.4.25
master.pl,4.3.3.4.17
master.pl,4.3.3.4.29
master.pl,4.4.1.1.1
master.pl,4.4.2.1.1
master.pl,4.4.3.1.1
master.pl,4.3.2.1.8
snad.pl,8.8.8.8.8